date,max_temperature,avg_temperature,min_temperature,avg_relative_humidity,avg_dew_point,avg_wind_speed,avg_pressure_sea,avg_visibility,min_visibility,avg_health_index,precipitation,daylight,solar_radiation,avg_cloud_cover_8,heatdegdays,cooldegdays,growdegdays_7
2025-12-31,-13.9,-17.95,-22.0,73.5,-20.9,22.0,102.52,13650,3200,1.8,1.2,8.17,10.0,4.5,36.0,0.0,0.0
2025-12-30,-8.1,-12.05,-16.0,86.0,-13.3,18.5,102.03,12850,1600,2.0,1.0,8.15,5.0,8.0,30.1,0.0,0.0
2025-12-29,-15.4,-20.75,-26.1,78.0,-23.1,14.0,103.02,24100,24100,2.2,1.5,8.13,5.0,4.0,38.8,0.0,0.0
2025-12-28,-13.4,-18.25,-23.1,83.0,-20.7,28.0,102.61,14450,4800,1.6,0.0,8.13,5.0,4.0,36.2,0.0,0.0
2025-12-27,-8.3,-10.85,-13.4,89.0,-12.2,21.0,101.27,12850,1600,1.7,1.1,8.12,3.0,8.0,28.9,0.0,0.0
2025-12-26,-9.2,-10.64,-12.1,86.5,-12.3,15.0,101.22,14450,4800,1.8,0.3,8.1,5.0,7.5,28.6,0.0,0.0
2025-12-25,-6.6,-11.35,-16.1,84.5,-12.7,16.0,101.93,13450,2800,1.8,0.3,8.1,0.0,5.5,29.4,0.0,0.0
2025-12-24,-9.1,-12.6,-16.1,80.0,-15.2,21.0,102.67,20100,16100,1.8,0.1,8.1,5.0,5.5,30.6,0.0,0.0
2025-12-23,-10.6,-13.3,-16.0,78.0,-15.9,19.0,102.26,18500,12900,1.8,0.1,8.08,5.0,5.0,31.3,0.0,0.0
2025-12-22,-8.9,-14.6,-20.3,81.0,-17.0,17.0,101.82,16100,8100,1.7,0.6,8.1,5.0,4.5,32.6,0.0,0.0
2025-12-21,-16.0,-20.85,-25.7,73.5,-23.9,7.0,102.36,24100,24100,2.1,6.2,8.08,8.0,4.0,38.9,0.0,0.0
2025-12-20,-13.3,-17.8,-22.3,78.0,-21.3,25.5,101.03,12450,800,1.9,1.9,8.1,5.0,4.0,35.8,0.0,0.0
2025-12-19,-8.7,-19.04,-29.4,77.5,-21.5,23.0,100.46,12450,800,2.6,3.3,8.08,0.0,4.0,37.0,0.0,0.0
2025-12-18,-8.8,-18.7,-28.6,73.0,-21.4,38.0,100.59,12150,200,1.7,1.0,8.1,7.0,4.0,36.7,0.0,0.0
2025-12-17,-5.2,-11.6,-18.0,85.5,-13.3,28.0,100.12,12650,1200,2.1,2.4,8.12,2.0,4.0,29.6,0.0,0.0
2025-12-16,6.0,-6.0,-18.0,80.0,-9.6,31.0,99.99,13650,3200,2.5,0.0,8.12,4.0,4.0,24.0,0.0,0.0
2025-12-15,-7.8,-11.25,-14.7,83.0,-13.2,24.5,100.92,14450,4800,2.5,0.0,8.12,5.0,5.5,29.2,0.0,0.0
2025-12-14,-13.0,-20.5,-28.0,73.0,-23.2,27.0,102.61,24100,24100,2.6,0.0,8.13,5.0,4.0,38.5,0.0,0.0
2025-12-13,-20.9,-24.75,-28.6,72.5,-28.6,17.5,103.15,24100,24100,1.8,0.0,8.15,9.0,3.0,42.8,0.0,0.0
2025-12-12,-10.4,-18.14,-25.9,77.0,-21.9,29.0,102.27,12650,1200,1.6,0.2,8.17,10.0,4.0,36.1,0.0,0.0
2025-12-11,-10.4,-13.5,-16.6,83.0,-14.8,16.0,101.84,12650,1200,2.1,1.8,8.18,5.0,6.0,31.5,0.0,0.0
2025-12-10,-9.1,-14.35,-19.6,80.0,-15.8,16.0,101.72,12550,1000,1.8,0.7,8.2,7.0,7.0,32.4,0.0,0.0
2025-12-09,-8.0,-11.7,-15.4,88.5,-12.6,16.0,100.53,12450,2400,2.4,1.2,8.22,4.0,6.0,29.7,0.0,0.0
2025-12-08,-9.7,-13.25,-16.8,82.0,-15.4,14.0,101.74,13650,3200,2.1,0.9,8.23,4.0,7.0,31.2,0.0,0.0
2025-12-07,-15.6,-21.2,-26.8,70.0,-24.4,9.5,102.94,24100,24100,2.2,0.0,8.27,9.0,4.0,39.2,0.0,0.0
2025-12-06,-17.4,-21.4,-25.4,73.0,-24.4,15.0,102.06,21700,19300,1.8,0.0,8.28,8.0,2.5,39.4,0.0,0.0
2025-12-05,-9.1,-13.95,-18.8,76.0,-16.6,21.0,101.13,12450,800,2.0,0.1,8.3,3.0,4.5,31.9,0.0,0.0
2025-12-04,-4.7,-12.8,-20.9,83.5,-14.8,28.5,101.48,13250,2400,2.0,0.2,8.35,4.0,4.0,30.8,0.0,0.0
2025-12-03,-14.8,-19.0,-23.2,72.0,-22.4,21.5,102.54,20100,16100,2.1,0.0,8.37,10.0,2.0,37.0,0.0,0.0
2025-12-02,-7.7,-11.25,-14.8,76.5,-14.7,24.0,101.21,12850,1600,2.8,0.3,8.4,5.0,7.0,29.2,0.0,0.0
2025-12-01,-11.3,-13.95,-16.6,77.5,-17.4,17.5,101.81,20100,16100,2.3,0.0,8.42,8.0,4.0,31.9,0.0,0.0
2025-11-30,-9.1,-11.85,-14.6,78.0,-14.4,13.0,102.9,14450,4800,1.6,0.0,8.47,6.0,4.0,29.9,0.0,0.0
2025-11-29,-5.6,-10.19,-14.8,84.5,-11.2,13.5,103.04,12650,1200,1.9,0.2,8.48,6.0,5.5,28.2,0.0,0.0
2025-11-28,-6.9,-8.19,-9.5,77.0,-11.3,10.5,103.16,13050,2000,1.8,0.0,8.52,4.0,4.0,26.2,0.0,0.0
2025-11-27,-3.2,-5.9,-8.6,73.0,-9.9,20.5,103.08,13050,2000,5.1,0.0,8.57,2.0,6.0,23.9,0.0,0.0
2025-11-26,-2.0,-3.9,-5.8,76.5,-7.4,23.0,102.62,24100,24100,1.4,0.0,8.6,3.0,8.0,21.9,0.0,0.0
2025-11-25,-2.0,-3.25,-4.5,86.0,-5.0,19.5,102.12,23300,22500,3.6,0.0,8.63,0.0,7.0,21.2,0.0,0.0
2025-11-24,4.0,-1.04,-6.1,79.5,-4.0,11.0,101.45,23300,22500,1.6,0.0,8.67,9.0,4.0,19.0,0.0,0.0
2025-11-23,10.1,3.55,-3.0,74.5,-1.5,17.5,101.12,24100,24100,2.1,0.0,8.72,9.0,3.5,14.4,0.0,0.0
2025-11-22,7.5,2.75,-2.0,76.0,-1.8,23.0,101.03,20100,16100,1.7,0.2,8.75,10.0,4.0,15.2,0.0,0.0
2025-11-21,2.0,-3.34,-8.7,80.0,-5.5,10.0,101.31,24100,24100,2.4,0.0,8.8,11.0,4.5,21.3,0.0,0.0
2025-11-20,5.2,-0.44,-6.1,76.5,-3.2,19.0,101.51,24100,24100,1.5,0.0,8.83,11.0,4.0,18.4,0.0,0.0
2025-11-19,4.2,1.7,-0.8,85.5,-0.1,13.0,101.4,14050,4000,1.8,0.1,8.88,3.0,5.0,16.3,0.0,0.0
2025-11-18,2.7,-1.4,-5.5,64.5,-6.2,17.0,101.83,24100,24100,2.3,0.0,8.92,3.0,4.0,19.4,0.0,0.0
2025-11-17,4.5,-0.25,-5.0,53.0,-10.0,10.0,102.01,24100,24100,2.5,0.0,8.97,11.0,4.0,18.2,0.0,0.0
2025-11-16,1.9,-2.54,-7.0,69.0,-6.8,8.5,101.72,24100,24100,1.7,0.0,9.03,6.0,4.0,20.5,0.0,0.0
2025-11-15,3.3,-1.1,-5.5,69.5,-4.0,24.5,100.91,24100,24100,1.4,0.0,9.07,11.0,4.0,19.1,0.0,0.0
2025-11-14,10.2,5.65,1.1,78.0,2.0,20.5,100.14,15250,6400,3.2,0.3,9.12,5.0,4.0,12.3,0.0,0.0
2025-11-13,7.7,1.0,-5.7,72.5,-3.8,12.0,101.23,23300,22500,2.0,0.0,9.15,12.0,3.5,17.0,0.0,0.0
2025-11-12,6.5,1.65,-3.2,67.0,-3.5,26.5,101.23,24100,24100,1.6,0.0,9.22,12.0,0.5,16.4,0.0,0.0
2025-11-11,8.0,3.4,-1.2,73.5,-1.5,25.5,100.38,24100,24100,1.4,0.0,9.27,7.0,4.0,14.6,0.0,0.0
2025-11-10,-1.0,-3.55,-6.1,85.5,-5.0,32.5,101.76,12650,1200,1.2,0.0,9.32,5.0,4.0,21.6,0.0,0.0
2025-11-09,-1.3,-4.05,-6.8,89.5,-6.1,20.5,103.3,16100,8100,1.6,0.0,9.37,4.0,5.5,22.1,0.0,0.0
2025-11-08,-3.3,-6.85,-10.4,80.5,-9.2,21.5,102.35,14050,4000,1.4,0.0,9.43,8.0,4.5,24.9,0.0,0.0
2025-11-07,0.7,-4.4,-9.5,79.5,-5.8,21.5,101.16,21700,19300,1.4,0.0,9.47,12.0,5.0,22.4,0.0,0.0
2025-11-06,4.9,-0.04,-5.0,81.0,-3.0,19.0,101.25,13250,2400,3.0,4.1,9.53,1.0,4.0,18.0,0.0,0.0
2025-11-05,6.1,0.29,-5.5,74.0,-3.0,12.5,102.06,24100,24100,2.6,0.0,9.58,13.0,1.5,17.7,0.0,0.0
2025-11-04,7.8,2.29,-3.2,71.0,-2.6,12.5,101.49,24100,24100,2.0,0.0,9.63,6.0,4.0,15.7,0.0,0.0
2025-11-03,9.6,5.6,1.6,54.5,-3.5,25.0,101.3,24100,24100,1.6,0.0,9.68,14.0,2.0,12.4,0.0,0.0
2025-11-02,14.7,8.75,2.8,74.0,2.0,34.0,100.2,16900,9700,1.2,0.0,9.75,10.0,4.0,9.2,0.0,1.8
2025-11-01,3.9,1.65,-0.6,88.0,-0.2,21.5,101.51,12650,1200,1.1,0.0,9.8,8.0,6.5,16.4,0.0,0.0
2025-10-31,5.5,3.1,0.7,82.0,1.6,18.5,101.76,14450,4800,1.5,0.2,9.87,6.0,6.5,14.9,0.0,0.0
