date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2026-01-01,-17.1,-20.52,-21.4,-25.7,,-36,81,77.2,75.5,70,-20.7,-23.5,-24.1,-27.5,23,13.21,14,5,,,102.37,101.94,102.07,101.77,99.24,98.82,98.95,98.66,24100,16317.4,13250,2400,1.9,1.8,1.8,1.6,39.4,0,0,0,0,1.9,,,19,08:27:00,1767277620,8.45,16:38:00,1767307080,16.63,8.18,,,-17,-17,-27,-23,5,,,,,8,5.2,4,0,,,,
2025-12-31,-13.9,-19.18,-17.95,-22,,-33,82,73.1,73.5,65,-16.7,-22.9,-20.9,-25,35,20.71,22,9,42,1,102.85,102.61,102.52,102.2,99.72,99.49,99.42,99.13,24100,22291.7,13650,3200,2,1.7,1.8,1.5,36,0,0,0,0,1.2,,,18,08:27:00,1767191220,8.45,16:37:00,1767220620,16.62,8.17,1,1,-21,-20,-23,-22,10,,,,,8,5,4.5,1,,,,
2025-12-30,-8.1,-11.54,-12.05,-16,,-25,91,86,86,81,-9.9,-13.4,-13.3,-16.8,32,19.75,18.5,5,36,33,102.26,102,102.03,101.8,99.15,98.93,98.94,98.72,24100,15575,12850,1600,2.3,2,2,1.6,30.1,0,0,0,0,1,,,18,08:27:00,1767104820,8.45,16:36:00,1767134160,16.6,8.15,,,-8,-8,-20,-20,5,,,,,8,8,8,8,,,,
2025-12-29,-15.4,-21.16,-20.75,-26.1,,-37,83,77.8,78,73,-17.7,-24.1,-23.1,-28.6,24,15.54,14,4,31,18,103.6,103.2,103.02,102.44,100.42,100.04,99.86,99.31,24100,24100,24100,24100,3,1.8,2.2,1.5,38.8,0,0,0,0,1.5,,,15,08:27:00,1767018420,8.45,16:35:00,1767047700,16.58,8.13,1,1,-16,-16,-16,-15,5,,,,,8,5.2,4,0,,,,
2025-12-28,-13.4,-16.3,-18.25,-23.1,,-35,88,82,83,78,-15.6,-18.7,-20.7,-25.8,35,27.33,28,21,35,35,103.27,102.54,102.61,101.96,100.13,99.44,99.51,98.9,24100,18416.7,14450,4800,1.8,1.7,1.6,1.5,36.2,0,0,0,0,0,,,15,08:26:00,1766931960,8.43,16:34:00,1766961240,16.57,8.13,,,-16,-16,-24,-24,5,,,,,8,6.1,4,0,,,,
2025-12-27,-8.3,-10.33,-10.85,-13.4,,-24,94,90.9,89,84,-9.2,-11.5,-12.2,-15.3,33,20.58,21,9,33,32,101.91,101.08,101.27,100.62,98.85,98.06,98.23,97.61,24100,14087.5,12850,1600,2,1.7,1.7,1.4,28.9,0,0,0,0,1.1,,,15,08:26:00,1766845560,8.43,16:33:00,1766874780,16.55,8.12,,,-6,-6,-15,-15,3,,,,,8,8,8,8,,,,
2025-12-26,-9.2,-11.05,-10.64,-12.1,,-20,93,85,86.5,80,-10.6,-13.1,-12.3,-14.1,26,13.96,15,4,,,101.46,101.23,101.22,100.98,98.43,98.2,98.2,97.97,24100,16816.7,14450,4800,2,1.9,1.8,1.6,28.6,0,0,0,0,0.3,,,15,08:26:00,1766759160,8.43,16:32:00,1766788320,16.53,8.1,,,-10,-10,-13,-12,5,,,,,8,7.8,7.5,7,,,,
2025-12-25,-6.6,-10.21,-11.35,-16.1,,-25,96,84.6,84.5,73,-7.3,-12.4,-12.7,-18,32,18.08,16,0,32,31,103,101.69,101.93,100.86,99.89,98.64,98.87,97.85,24100,18283.3,13450,2800,2,1.8,1.8,1.5,29.4,0,0,0,0,0.3,,,16,08:26:00,1766672760,8.43,16:32:00,1766701920,16.53,8.1,1,1,-6,-6,-16,-14,0,,,,,8,7.3,5.5,3,,,,
2025-12-24,-9.1,-12.99,-12.6,-16.1,,-26,84,80.3,80,76,-11.5,-15.7,-15.2,-18.8,32,20.83,21,10,40,1,103.21,102.67,102.67,102.13,100.1,99.58,99.58,99.06,24100,22900,20100,16100,2,1.9,1.8,1.7,30.6,0,0,0,0,0.1,,,16,08:25:00,1766586300,8.42,16:31:00,1766615460,16.52,8.1,1,1,-11,-11,-18,-18,5,,,,,8,6.7,5.5,3,,,,
2025-12-23,-10.6,-13.68,-13.3,-16,,-28,84,79.5,78,72,-13.7,-16.5,-15.9,-18.2,38,21.25,19,0,50,16,102.83,102.47,102.26,101.68,99.72,99.38,99.17,98.62,24100,22360.9,18500,12900,2,1.7,1.8,1.5,31.3,0,0,0,0,0.1,,,17,08:25:00,1766499900,8.42,16:30:00,1766529000,16.5,8.08,1,1,-14,-14,-15,-15,5,,,,,8,7.2,5,2,,,,
2025-12-22,-8.9,-14.45,-14.6,-20.3,,-28,87,81.1,81,75,-11.8,-17,-17,-22.2,34,13,17,0,37,31,102.32,101.81,101.82,101.32,99.2,98.72,98.73,98.26,24100,22100,16100,8100,2,1.8,1.7,1.4,32.6,0,0,0,0,0.6,,,16,08:24:00,1766413440,8.4,16:30:00,1766442600,16.5,8.1,1,1,-11,-11,-17,-16,5,,,,,8,5.9,4.5,1,,,,
2025-12-21,-16,-19.98,-20.85,-25.7,,-33,81,75.1,73.5,66,-20.4,-23.4,-23.9,-27.3,14,8.67,7,0,,,102.46,102.36,102.36,102.25,99.31,99.22,99.22,99.12,24100,24100,24100,24100,2.3,2.1,2.1,1.9,38.9,0,0,0,0,6.2,,,16,08:24:00,1766327040,8.4,16:29:00,1766356140,16.48,8.08,1,1,-17,-17,-20,-20,8,,,,,8,3.5,4,0,,,,
2025-12-20,-13.3,-18.45,-17.8,-22.3,,-33,83,78.1,78,73,-17.6,-21.4,-21.3,-25,45,28.17,25.5,6,45,32,102.3,101.18,101.03,99.75,99.16,98.11,97.94,96.72,24100,14329.2,12450,800,2.1,1.8,1.9,1.7,35.8,0,0,0,0,1.9,,,4,08:23:00,1766240580,8.38,16:29:00,1766269740,16.48,8.1,1,1,-16,-16,-26,-26,5,,,,,8,5,4,0,,,,
2025-12-19,-8.7,-19.14,-19.04,-29.4,,-36,87,79,77.5,68,-11.3,-21.9,-21.5,-31.7,46,26.5,23,0,61,13,101.8,100.37,100.46,99.12,98.64,97.28,97.37,96.1,24100,13729.2,12450,800,3.7,2.6,2.6,1.5,37,0,0,0,0,3.3,,,4,08:23:00,1766154180,8.38,16:28:00,1766183280,16.47,8.08,,,-11,-11,-18,-17,0,,,,,8,5.3,4,0,,,,
